team,elo,net_rating
SAS,1742.2,8.07
OKC,1701.6,11.15
BOS,1696.9,7.7
DET,1695.4,8.16
DEN,1666.7,5.15
CHA,1653.5,4.83
NYK,1648.9,6.39
CLE,1614.8,4.11
HOU,1612.9,5.22
LAL,1604.1,1.76
ATL,1591.7,2.41
PHX,1563.9,1.46
TOR,1555.3,2.83
MIN,1552.4,3.35
LAC,1544.5,1.13
ORL,1543.0,0.63
POR,1531.4,-0.29
MIA,1530.1,2.33
PHI,1518.5,-0.18
GSW,1427.8,-0.56
NOP,1404.1,-4.5
DAL,1354.9,-5.51
MIL,1349.3,-6.21
CHI,1343.7,-5.21
IND,1334.6,-7.99
SAC,1331.1,-10.0
UTA,1287.1,-8.43
MEM,1279.9,-6.01
BKN,1258.4,-9.99
WAS,1211.2,-11.98
