athlete_id,athlete_display_name,team,pos,headshot,gp,min_pg,pts_pg,reb_pg,ast_pg,bpm,impact
3112335.0,Nikola Jokic,DEN,C,https://a.espncdn.com/i/headshots/nba/players/full/3112335.png,66,34.39,27.26,12.7,10.56,14.2,10.17
4278073.0,Shai Gilgeous-Alexander,OKC,G,https://a.espncdn.com/i/headshots/nba/players/full/4278073.png,68,33.26,31.13,4.29,6.59,11.7,8.11
5104157.0,Victor Wembanyama,SAS,F,https://a.espncdn.com/i/headshots/nba/players/full/5104157.png,67,28.55,24.64,11.19,2.99,10.7,6.36
3945274.0,Luka Doncic,LAL,G,https://a.espncdn.com/i/headshots/nba/players/full/3945274.png,65,35.35,33.0,7.62,8.18,9.3,6.85
6450.0,Kawhi Leonard,TOR,F,https://a.espncdn.com/i/headshots/nba/players/full/6450.png,68,31.19,27.21,6.21,3.49,8.0,5.2
4432166.0,Cade Cunningham,DET,G,https://a.espncdn.com/i/headshots/nba/players/full/4432166.png,67,32.84,23.07,5.4,9.57,6.3,4.31
6430.0,Jimmy Butler III,GSW,F,https://a.espncdn.com/i/headshots/nba/players/full/6430.png,38,31.18,20.0,5.55,4.87,5.5,3.57
3975.0,Stephen Curry,GSW,G,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,43,30.95,26.56,3.58,4.72,5.4,3.48
4431678.0,Tyrese Maxey,PHI,G,https://a.espncdn.com/i/headshots/nba/players/full/4431678.png,73,36.81,27.33,4.04,6.36,5.4,4.14
3908809.0,Donovan Mitchell,CLE,G,https://a.espncdn.com/i/headshots/nba/players/full/3908809.png,73,32.3,26.9,4.34,5.49,5.1,3.43
4433621.0,Jalen Duren,DET,C,https://a.espncdn.com/i/headshots/nba/players/full/4433621.png,73,27.37,18.9,10.25,1.93,5.0,2.85
3059318.0,Joel Embiid,PHI,C,https://a.espncdn.com/i/headshots/nba/players/full/3059318.png,38,31.5,26.87,7.71,3.95,4.9,3.22
