abbr,name,logo,color
ATL,Atlanta Hawks,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,c8102e
BOS,Boston Celtics,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,008348
BKN,Brooklyn Nets,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png,000000
CHA,Charlotte Hornets,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,008ca8
CHI,Chicago Bulls,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,ce1141
CLE,Cleveland Cavaliers,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,860038
DAL,Dallas Mavericks,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,0064b1
DEN,Denver Nuggets,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,0e2240
DET,Detroit Pistons,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,1d428a
GSW,Golden State Warriors,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,fdb927
HOU,Houston Rockets,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,ce1141
IND,Indiana Pacers,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,0c2340
LAC,LA Clippers,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,12173f
LAL,Los Angeles Lakers,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,552583
MEM,Memphis Grizzlies,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,5d76a9
MIA,Miami Heat,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,98002e
MIL,Milwaukee Bucks,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,00471b
MIN,Minnesota Timberwolves,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,266092
NOP,New Orleans Pelicans,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,0a2240
NYK,New York Knicks,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,1d428a
OKC,Oklahoma City Thunder,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,007ac1
ORL,Orlando Magic,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,0150b5
PHI,Philadelphia 76ers,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,1d428a
PHX,Phoenix Suns,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,29127a
POR,Portland Trail Blazers,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,e03a3e
SAC,Sacramento Kings,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,5a2d81
SAS,San Antonio Spurs,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,000000
TOR,Toronto Raptors,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,d91244
UTA,Utah Jazz,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,4e008e
WAS,Washington Wizards,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,e31837
